Timestamp              RA (HHMMSS)  DEC (DDMMSS)  Distance (km)
2020-07-26 10:52:42    005339       163032        1067424.229
2020-07-26 11:00:00    005340       163034        1068982.888
2020-07-26 11:10:00    005340       163037        1071120.331
2020-07-26 11:20:00    005341       163040        1073257.652
2020-07-26 11:30:00    005341       163043        1075394.850
2020-07-26 11:40:00    005342       163047        1077531.927
2020-07-26 11:50:00    005342       163050        1079668.882
2020-07-26 12:00:00    005343       163053        1081805.717
2020-07-26 12:10:00    005343       163056        1083942.431
2020-07-26 12:20:00    005343       163059        1086079.025
2020-07-26 12:30:00    005344       163102        1088215.499
2020-07-26 12:40:00    005344       163105        1090351.854
2020-07-26 12:50:00    005345       163108        1092488.091
2020-07-26 13:00:00    005345       163111        1094624.210
2020-07-26 13:10:00    005346       163114        1096760.210
2020-07-26 13:20:00    005346       163116        1098896.094
2020-07-26 13:30:00    005347       163119        1101031.861
2020-07-26 13:40:00    005347       163122        1103167.511
2020-07-26 13:50:00    005348       163125        1105303.045
2020-07-26 14:00:00    005348       163128        1107438.463
2020-07-26 14:10:00    005349       163131        1109573.767
2020-07-26 14:20:00    005349       163134        1111708.955
2020-07-26 14:30:00    005350       163137        1113844.029
2020-07-26 14:40:00    005350       163140        1115978.989
2020-07-26 14:50:00    005350       163142        1118113.836
2020-07-26 15:00:00    005351       163145        1120248.570
2020-07-26 15:10:00    005351       163148        1122383.191
2020-07-26 15:20:00    005352       163151        1124517.699
2020-07-26 15:30:00    005352       163154        1126652.096
2020-07-26 15:40:00    005353       163156        1128786.381
2020-07-26 15:50:00    005353       163159        1130920.555
2020-07-26 16:00:00    005354       163202        1133054.618
2020-07-26 16:10:00    005354       163205        1135188.571
2020-07-26 16:20:00    005354       163207        1137322.414
2020-07-26 16:30:00    005355       163210        1139456.148
2020-07-26 16:40:00    005355       163213        1141589.772
2020-07-26 16:50:00    005356       163215        1143723.288
2020-07-26 17:00:00    005356       163218        1145856.695
2020-07-26 17:10:00    005357       163221        1147989.994
2020-07-26 17:20:00    005357       163223        1150123.185
2020-07-26 17:30:00    005357       163226        1152256.270
2020-07-26 17:40:00    005358       163229        1154389.247
2020-07-26 17:50:00    005358       163231        1156522.118
2020-07-26 18:00:00    005359       163234        1158654.882
2020-07-26 18:10:00    005359       163236        1160787.541
2020-07-26 18:20:00    005359       163239        1162920.095
2020-07-26 18:30:00    005360       163242        1165052.543
2020-07-26 18:40:00    005400       163244        1167184.886
2020-07-26 18:50:00    005401       163247        1169317.125
2020-07-26 19:00:00    005401       163249        1171449.261
2020-07-26 19:10:00    005401       163252        1173581.292
2020-07-26 19:20:00    005402       163254        1175713.220
2020-07-26 19:30:00    005402       163257        1177845.046
2020-07-26 19:40:00    005403       163259        1179976.768
2020-07-26 19:50:00    005403       163302        1182108.388
2020-07-26 20:00:00    005404       163304        1184239.907
2020-07-26 20:10:00    005404       163307        1186371.324
2020-07-26 20:20:00    005404       163309        1188502.639
