"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
31 Jul 2019 14:18:00.000,11.641,151.205,61.596827,0.036772,0.058546,-0.543166
31 Jul 2019 14:18:01.000,11.678,151.264,61.054180,0.036782,0.058597,-0.542128
31 Jul 2019 14:18:02.000,11.714,151.322,60.512571,0.036792,0.058648,-0.541088
31 Jul 2019 14:18:03.000,11.751,151.381,59.972003,0.036802,0.058699,-0.540048
31 Jul 2019 14:18:04.000,11.788,151.440,59.432477,0.036812,0.058750,-0.539005
31 Jul 2019 14:18:05.000,11.825,151.498,58.893993,0.036822,0.058801,-0.537962
31 Jul 2019 14:18:06.000,11.862,151.557,58.356554,0.036832,0.058853,-0.536917
31 Jul 2019 14:18:07.000,11.898,151.616,57.820161,0.036842,0.058904,-0.535870
31 Jul 2019 14:18:08.000,11.935,151.675,57.284814,0.036851,0.058955,-0.534822
31 Jul 2019 14:18:09.000,11.972,151.734,56.750517,0.036861,0.059006,-0.533773
31 Jul 2019 14:18:10.000,12.009,151.793,56.217269,0.036870,0.059058,-0.532722
31 Jul 2019 14:18:11.000,12.046,151.852,55.685072,0.036880,0.059109,-0.531670
31 Jul 2019 14:18:12.000,12.083,151.911,55.153929,0.036889,0.059161,-0.530617
31 Jul 2019 14:18:13.000,12.120,151.970,54.623839,0.036898,0.059212,-0.529562
31 Jul 2019 14:18:14.000,12.156,152.030,54.094805,0.036907,0.059264,-0.528506
31 Jul 2019 14:18:15.000,12.193,152.089,53.566828,0.036917,0.059315,-0.527448
31 Jul 2019 14:18:16.000,12.230,152.148,53.039909,0.036925,0.059367,-0.526389
31 Jul 2019 14:18:17.000,12.267,152.208,52.514049,0.036934,0.059418,-0.525329
31 Jul 2019 14:18:18.000,12.304,152.267,51.989251,0.036943,0.059470,-0.524267
31 Jul 2019 14:18:19.000,12.341,152.327,51.465515,0.036952,0.059522,-0.523204
31 Jul 2019 14:18:20.000,12.378,152.386,50.942843,0.036960,0.059574,-0.522140
31 Jul 2019 14:18:21.000,12.415,152.446,50.421236,0.036969,0.059625,-0.521074
31 Jul 2019 14:18:22.000,12.452,152.505,49.900695,0.036977,0.059677,-0.520007
31 Jul 2019 14:18:23.000,12.489,152.565,49.381223,0.036986,0.059729,-0.518938
31 Jul 2019 14:18:24.000,12.526,152.625,48.862820,0.036994,0.059781,-0.517868
31 Jul 2019 14:18:25.000,12.563,152.685,48.345487,0.037002,0.059833,-0.516797
31 Jul 2019 14:18:26.000,12.600,152.745,47.829227,0.037010,0.059885,-0.515724
31 Jul 2019 14:18:27.000,12.637,152.805,47.314040,0.037018,0.059937,-0.514650
31 Jul 2019 14:18:28.000,12.674,152.864,46.799928,0.037026,0.059989,-0.513574
31 Jul 2019 14:18:29.000,12.711,152.925,46.286892,0.037034,0.060041,-0.512497
31 Jul 2019 14:18:30.000,12.748,152.985,45.774933,0.037041,0.060094,-0.511419
31 Jul 2019 14:18:31.000,12.785,153.045,45.264054,0.037049,0.060146,-0.510340
31 Jul 2019 14:18:32.000,12.822,153.105,44.754255,0.037056,0.060198,-0.509259
31 Jul 2019 14:18:33.000,12.859,153.165,44.245537,0.037064,0.060250,-0.508176
31 Jul 2019 14:18:34.000,12.896,153.225,43.737903,0.037071,0.060303,-0.507092
31 Jul 2019 14:18:35.000,12.933,153.286,43.231353,0.037078,0.060355,-0.506007
31 Jul 2019 14:18:36.000,12.970,153.346,42.725888,0.037085,0.060407,-0.504921
31 Jul 2019 14:18:37.000,13.008,153.407,42.221511,0.037092,0.060460,-0.503833
31 Jul 2019 14:18:38.000,13.045,153.467,41.718223,0.037099,0.060512,-0.502744
31 Jul 2019 14:18:39.000,13.082,153.528,41.216024,0.037106,0.060565,-0.501653
31 Jul 2019 14:18:40.000,13.119,153.588,40.714916,0.037113,0.060617,-0.500561
31 Jul 2019 14:18:41.000,13.156,153.649,40.214901,0.037119,0.060670,-0.499468
31 Jul 2019 14:18:42.000,13.193,153.709,39.715980,0.037126,0.060722,-0.498374
31 Jul 2019 14:18:43.000,13.230,153.770,39.218154,0.037132,0.060775,-0.497278
31 Jul 2019 14:18:44.000,13.267,153.831,38.721425,0.037138,0.060828,-0.496180
31 Jul 2019 14:18:45.000,13.305,153.892,38.225794,0.037145,0.060881,-0.495082
31 Jul 2019 14:18:46.000,13.342,153.953,37.731262,0.037151,0.060933,-0.493982
31 Jul 2019 14:18:47.000,13.379,154.014,37.237831,0.037157,0.060986,-0.492880
31 Jul 2019 14:18:48.000,13.416,154.075,36.745502,0.037163,0.061039,-0.491777
31 Jul 2019 14:18:49.000,13.453,154.136,36.254277,0.037168,0.061092,-0.490673
31 Jul 2019 14:18:50.000,13.490,154.197,35.764156,0.037174,0.061145,-0.489568
31 Jul 2019 14:18:51.000,13.528,154.258,35.275141,0.037180,0.061198,-0.488461
31 Jul 2019 14:18:52.000,13.565,154.319,34.787234,0.037185,0.061251,-0.487353
31 Jul 2019 14:18:53.000,13.602,154.381,34.300436,0.037191,0.061304,-0.486243
31 Jul 2019 14:18:54.000,13.639,154.442,33.814748,0.037196,0.061357,-0.485133
31 Jul 2019 14:18:55.000,13.676,154.503,33.330171,0.037201,0.061410,-0.484021
31 Jul 2019 14:18:56.000,13.713,154.565,32.846707,0.037206,0.061463,-0.482907
31 Jul 2019 14:18:57.000,13.751,154.626,32.364357,0.037211,0.061516,-0.481792
31 Jul 2019 14:18:58.000,13.788,154.688,31.883123,0.037216,0.061569,-0.480676
31 Jul 2019 14:18:59.000,13.825,154.749,31.403006,0.037221,0.061623,-0.479558
31 Jul 2019 14:19:00.000,13.862,154.811,30.924006,0.037225,0.061676,-0.478440
31 Jul 2019 14:19:01.000,13.900,154.873,30.446127,0.037230,0.061729,-0.477319
31 Jul 2019 14:19:02.000,13.937,154.934,29.969368,0.037234,0.061782,-0.476198
31 Jul 2019 14:19:03.000,13.974,154.996,29.493731,0.037239,0.061836,-0.475075
31 Jul 2019 14:19:04.000,14.011,155.058,29.019218,0.037243,0.061889,-0.473951
31 Jul 2019 14:19:05.000,14.049,155.120,28.545830,0.037247,0.061943,-0.472825
31 Jul 2019 14:19:06.000,14.086,155.182,28.073568,0.037251,0.061996,-0.471699
31 Jul 2019 14:19:07.000,14.123,155.244,27.602433,0.037255,0.062050,-0.470570
31 Jul 2019 14:19:08.000,14.160,155.306,27.132427,0.037259,0.062103,-0.469441
31 Jul 2019 14:19:09.000,14.198,155.368,26.663552,0.037263,0.062157,-0.468310
31 Jul 2019 14:19:10.000,14.235,155.430,26.195808,0.037266,0.062210,-0.467178
31 Jul 2019 14:19:11.000,14.272,155.493,25.729196,0.037270,0.062264,-0.466045
31 Jul 2019 14:19:12.000,14.309,155.555,25.263719,0.037273,0.062318,-0.464910
31 Jul 2019 14:19:13.000,14.347,155.617,24.799377,0.037277,0.062371,-0.463774
31 Jul 2019 14:19:14.000,14.384,155.680,24.336172,0.037280,0.062425,-0.462636
31 Jul 2019 14:19:15.000,14.421,155.742,23.874104,0.037283,0.062479,-0.461498
31 Jul 2019 14:19:16.000,14.458,155.805,23.413176,0.037286,0.062533,-0.460358
31 Jul 2019 14:19:17.000,14.496,155.867,22.953389,0.037289,0.062586,-0.459217
31 Jul 2019 14:19:18.000,14.533,155.930,22.494744,0.037291,0.062640,-0.458074
31 Jul 2019 14:19:19.000,14.570,155.993,22.037242,0.037294,0.062694,-0.456930
31 Jul 2019 14:19:20.000,14.608,156.055,21.580884,0.037297,0.062748,-0.455785
31 Jul 2019 14:19:21.000,14.645,156.118,21.125673,0.037299,0.062802,-0.454638
31 Jul 2019 14:19:22.000,14.682,156.181,20.671608,0.037301,0.062856,-0.453490
31 Jul 2019 14:19:23.000,14.720,156.244,20.218692,0.037304,0.062910,-0.452341
31 Jul 2019 14:19:24.000,14.757,156.307,19.766926,0.037306,0.062964,-0.451191
31 Jul 2019 14:19:25.000,14.794,156.370,19.316311,0.037308,0.063018,-0.450039
31 Jul 2019 14:19:26.000,14.831,156.433,18.866848,0.037310,0.063072,-0.448886
31 Jul 2019 14:19:27.000,14.869,156.496,18.418539,0.037311,0.063126,-0.447732
31 Jul 2019 14:19:28.000,14.906,156.559,17.971385,0.037313,0.063181,-0.446576
31 Jul 2019 14:19:29.000,14.943,156.622,17.525387,0.037314,0.063235,-0.445419
31 Jul 2019 14:19:30.000,14.981,156.685,17.080546,0.037316,0.063289,-0.444261
31 Jul 2019 14:19:31.000,15.018,156.749,16.636865,0.037317,0.063343,-0.443102
31 Jul 2019 14:19:32.000,15.055,156.812,16.194343,0.037318,0.063398,-0.441941
31 Jul 2019 14:19:33.000,15.093,156.876,15.752983,0.037319,0.063452,-0.440779
31 Jul 2019 14:19:34.000,15.130,156.939,15.312785,0.037320,0.063506,-0.439616
31 Jul 2019 14:19:35.000,15.167,157.003,14.873751,0.037321,0.063561,-0.438451
31 Jul 2019 14:19:36.000,15.205,157.066,14.435883,0.037322,0.063615,-0.437286
31 Jul 2019 14:19:37.000,15.242,157.130,13.999181,0.037323,0.063669,-0.436118
31 Jul 2019 14:19:38.000,15.279,157.193,13.563646,0.037323,0.063724,-0.434950
31 Jul 2019 14:19:39.000,15.317,157.257,13.129281,0.037323,0.063778,-0.433780
31 Jul 2019 14:19:40.000,15.354,157.321,12.696086,0.037324,0.063833,-0.432610
31 Jul 2019 14:19:41.000,15.391,157.385,12.264062,0.037324,0.063887,-0.431437
31 Jul 2019 14:19:42.000,15.429,157.449,11.833211,0.037324,0.063942,-0.430264
31 Jul 2019 14:19:43.000,15.466,157.513,11.403535,0.037324,0.063997,-0.429089
31 Jul 2019 14:19:44.000,15.503,157.577,10.975033,0.037324,0.064051,-0.427913
31 Jul 2019 14:19:45.000,15.541,157.641,10.547708,0.037323,0.064106,-0.426736
31 Jul 2019 14:19:46.000,15.578,157.705,10.121561,0.037323,0.064161,-0.425558
31 Jul 2019 14:19:47.000,15.615,157.769,9.696593,0.037322,0.064215,-0.424378
31 Jul 2019 14:19:48.000,15.653,157.833,9.272806,0.037322,0.064270,-0.423197
31 Jul 2019 14:19:49.000,15.690,157.898,8.850200,0.037321,0.064325,-0.422015
31 Jul 2019 14:19:50.000,15.727,157.962,8.428777,0.037320,0.064379,-0.420831
31 Jul 2019 14:19:51.000,15.764,158.027,8.008538,0.037319,0.064434,-0.419647
31 Jul 2019 14:19:52.000,15.802,158.091,7.589484,0.037318,0.064489,-0.418461
31 Jul 2019 14:19:53.000,15.839,158.155,7.171617,0.037316,0.064544,-0.417274
31 Jul 2019 14:19:54.000,15.876,158.220,6.754937,0.037315,0.064599,-0.416085
31 Jul 2019 14:19:55.000,15.914,158.285,6.339447,0.037314,0.064654,-0.414895
31 Jul 2019 14:19:56.000,15.951,158.349,5.925147,0.037312,0.064709,-0.413705
31 Jul 2019 14:19:57.000,15.988,158.414,5.512038,0.037310,0.064764,-0.412512
31 Jul 2019 14:19:58.000,16.026,158.479,5.100122,0.037308,0.064819,-0.411319
31 Jul 2019 14:19:59.000,16.063,158.544,4.689400,0.037306,0.064874,-0.410125
31 Jul 2019 14:20:00.000,16.100,158.609,4.279874,0.037304,0.064929,-0.408929
31 Jul 2019 14:20:01.000,16.138,158.674,3.871543,0.037302,0.064984,-0.407732
31 Jul 2019 14:20:02.000,16.175,158.739,3.464411,0.037300,0.065039,-0.406533
31 Jul 2019 14:20:03.000,16.212,158.804,3.058477,0.037297,0.065094,-0.405334
31 Jul 2019 14:20:04.000,16.249,158.869,2.653743,0.037294,0.065149,-0.404133
31 Jul 2019 14:20:05.000,16.287,158.934,2.250210,0.037292,0.065204,-0.402931
31 Jul 2019 14:20:06.000,16.324,158.999,1.847880,0.037289,0.065259,-0.401728
31 Jul 2019 14:20:07.000,16.361,159.064,1.446754,0.037286,0.065314,-0.400524
31 Jul 2019 14:20:08.000,16.399,159.130,1.046833,0.037283,0.065369,-0.399319
31 Jul 2019 14:20:09.000,16.436,159.195,0.648117,0.037280,0.065425,-0.398112
31 Jul 2019 14:20:10.000,16.473,159.261,0.250609,0.037276,0.065480,-0.396904
31 Jul 2019 14:20:11.000,16.510,159.326,-0.145690,0.037273,0.065535,-0.395695
31 Jul 2019 14:20:12.000,16.548,159.392,-0.540780,0.037269,0.065590,-0.394484
31 Jul 2019 14:20:13.000,16.585,159.457,-0.934659,0.037265,0.065646,-0.393273
31 Jul 2019 14:20:14.000,16.622,159.523,-1.327325,0.037262,0.065701,-0.392060
31 Jul 2019 14:20:15.000,16.660,159.589,-1.718779,0.037258,0.065756,-0.390846
31 Jul 2019 14:20:16.000,16.697,159.655,-2.109018,0.037253,0.065812,-0.389631
31 Jul 2019 14:20:17.000,16.734,159.720,-2.498041,0.037249,0.065867,-0.388415
31 Jul 2019 14:20:18.000,16.771,159.786,-2.885847,0.037245,0.065922,-0.387198
31 Jul 2019 14:20:19.000,16.809,159.852,-3.272436,0.037240,0.065978,-0.385979
31 Jul 2019 14:20:20.000,16.846,159.918,-3.657805,0.037236,0.066033,-0.384759
31 Jul 2019 14:20:21.000,16.883,159.984,-4.041954,0.037231,0.066089,-0.383538
31 Jul 2019 14:20:22.000,16.920,160.050,-4.424881,0.037226,0.066144,-0.382316
31 Jul 2019 14:20:23.000,16.957,160.117,-4.806586,0.037221,0.066200,-0.381093
31 Jul 2019 14:20:24.000,16.995,160.183,-5.187066,0.037216,0.066255,-0.379868
31 Jul 2019 14:20:25.000,17.032,160.249,-5.566322,0.037211,0.066311,-0.378643
31 Jul 2019 14:20:26.000,17.069,160.315,-5.944351,0.037205,0.066366,-0.377416
31 Jul 2019 14:20:27.000,17.106,160.382,-6.321153,0.037200,0.066422,-0.376188
